title,artist,num_artists,artists_followers,artists_popularity,num_sections,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,fade_in,fade_out,time_signature,explicit,popularity,genre,date,liked
Them Changes,Thundercat,1,1126397,72,6,0.657,0.562,8,-8.6,1,0.0601,0.54,0.00143,0.101,0.704,81.657,188454,0.0,170.48671,4,False,78,afrofuturism,2017-02-24,No
Moonlight,Sidharth,3,175.33333333333334,2.6666666666666665,4,0.504,0.335,3,-12.468,0,0.0429,0.183,0,0.0813,0.449,99.974,163212,2.65868,153.51872,4,False,1,desconocido,2023-03-30,No
Lie,NF,1,8563535,81,10,0.513,0.661,5,-6.419,1,0.24,0.161,0,0.246,0.179,94.791,209213,0.1878,202.31546,4,False,77,hip hop,2017-10-06,No
Lullaby,Low,1,240652,46,28,0.372,0.232,11,-14.246,0,0.0423,0.058,0.629,0.112,0.0924,125.798,589107,0.38907,573.39355,4,False,57,chamber pop,1994-01-01,No
Que Locura Fue Enamorarme de Ti (Remix),La Banda De Lechuga,2,164857,49,7,0.879,0.555,9,-5.556,1,0.0746,0.116,1.38e-05,0.038,0.659,101.979,141453,0.14508,141.45306,4,False,62,cumbia villera,2019-11-15,No
Танцы,ssshhhiiittt!,1,490922,53,5,0.481,0.972,7,-1.647,0,0.0576,0.144,0.000184,0.789,0.856,159.905,175054,0.15156,166.31873,4,True,61,russian post-punk,2019-09-30,No
Paracetamol,Calcutta ,1,623277,60,7,0.621,0.481,2,-6.222,1,0.0293,0.213,0,0.129,0.468,143.075,178063,0.27896,173.29633,4,True,39,italian adult pop,2019-11-29,No
The Ballet Girl,Aden Foyer,1,24080,59,9,0.694,0.816,1,-4.741,1,0.0293,0.0796,1.17e-06,0.103,0.601,118.036,201425,0.0,198.62349,4,False,77,desconocido,2022-10-21,No
Mine,Bazzi,1,5442784,71,7,0.71,0.789,4,-3.874,1,0.0722,0.0161,2.77e-06,0.451,0.717,142.929,131064,0.06367,127.70395,4,True,76,pop,2018-04-12,No
Ain’t That Some,Morgan Wallen,1,6149580,90,9,0.641,0.803,6,-5.781,0,0.0286,0.00232,3.86e-06,0.361,0.671,121.086,158004,0.19129,151.278,4,True,84,contemporary country,2023-03-03,No
Back To You - Afrohouse Deluxe Mix,Lost Frequencies,2,2775183.5,74,9,0.659,0.596,5,-8.169,1,0.035,0.0741,0.00477,0.109,0.457,125.978,206113,0.081,199.70322,4,False,52,belgian edm,2023-03-10,No
I'm Not Dead Yet,Mike Posner,1,1355168,69,11,0.723,0.64,0,-6.006,1,0.0389,0.122,5.06e-06,0.204,0.456,136.034,178852,0.33243,174.55602,4,True,61,dance pop,2022-09-23,No
Ven Junto a Mi,Omar Montes,3,199850,47,9,0.828,0.861,1,-4.689,0,0.0702,0.163,0,0.131,0.301,108.007,190556,2.11882,170.41125,4,False,39,flamenco urbano,2017-10-17,No
Summer,Steve Kroeger,2,2924.5,43,9,0.883,0.787,8,-5.038,1,0.0399,0.0628,0.000688,0.214,0.159,120.991,164628,2.24653,159.92744,4,False,58,canadian electronic,2021-03-19,No
Keep On Dancing,BEAUZ,2,33029.5,53.5,8,0.302,0.786,2,-4.968,1,0.133,0.0282,0,0.0816,0.383,207.683,148942,2.60644,144.68935,4,False,60,pop edm,2022-05-27,No
Dépassé,Nuit Incolore,1,59713,57,8,0.626,0.569,0,-7.971,0,0.0457,0.365,0,0.151,0.419,76.992,172394,2.2059,158.04082,4,False,75,desconocido,2022-12-15,No
