title,artist,num_artists,artists_followers,artists_popularity,num_sections,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,fade_in,fade_out,time_signature,explicit,popularity,genre,date,liked
Titanium (feat. Sia),David Guetta,2,26262033.5,85.5,12,0.604,0.787,0,-3.674,0,0.103,0.0679,0.15,0.127,0.301,126.062,245040,0.49342,228.51918,4,False,84,big room,2012-12-07,Yes
"Villano Antillano: Bzrp Music Sessions, Vol. 51",Bizarrap,2,5605129,73.5,10,0.82,0.752,1,-7.635,0,0.0648,0.0584,0.00417,0.628,0.423,127.999,187500,0.0,176.56454,4,True,79,argentine hip hop,2022-06-08,Yes
PRMVR,La Maravillosa Orquesta del Alcohol,1,209251,56,8,0.585,0.608,10,-5.511,1,0.0263,0.0249,2.88e-06,0.337,0.562,95.805,183013,0.3249,174.3238,4,False,58,spanish indie pop,2015-10-03,Yes
Por la boca vive el pez,Fito y Fitipaldis,1,1845329,65,12,0.641,0.892,0,-2.812,0,0.0303,0.255,1.01e-05,0.221,0.841,151.229,269373,0.3946,256.5805,4,False,69,cantautor,2006-09-11,Yes
Lady Madrid,Pereza,1,449596,56,9,0.598,0.655,0,-2.761,1,0.0256,0.359,0,0.0922,0.377,115.041,191587,0.3254,177.27855,4,False,63,spanish indie pop,2009-08-25,Yes
Volvera,El Canto Del Loco,1,958041,63,7,0.568,0.892,1,-3.091,1,0.0464,0.0111,0,0.379,0.783,126.02,229747,0.07832,221.25134,4,False,62,latin arena pop,2005,Yes
Rosas,La Oreja de Van Gogh,1,3371218,72,13,0.783,0.685,9,-5.008,1,0.0271,0.627,3.49e-06,0.108,0.54,107.01,236333,3.81388,226.94023,4,False,81,latin arena pop,2003,Yes
Puedes Contar Conmigo,La Oreja de Van Gogh,1,3371218,72,12,0.651,0.894,6,-4.843,1,0.0317,0.0706,0,0.13,0.561,144.95,236565,0.23261,229.30286,4,False,69,latin arena pop,2003,Yes
Viva La Vida,Coldplay,1,44924323,88,11,0.486,0.617,5,-7.115,0,0.0287,0.0954,3.23e-06,0.109,0.417,138.015,242373,0.49946,231.05016,4,False,90,permanent wave,2008-05-26,Yes
Soldadito marinero,Fito y Fitipaldis,1,1845329,65,12,0.718,0.431,2,-8.736,1,0.0314,0.132,0.000165,0.0686,0.324,139.618,254373,0.50444,235.68834,4,False,71,cantautor,2003-09-01,Yes
Tu jardín con enanitos,Melendi,1,3494549,72,9,0.721,0.834,7,-4.457,1,0.0345,0.337,0,0.104,0.53,127.92,236976,0.12431,228.26958,4,False,74,spanish pop,2012-11-13,Yes
Nada Fue Un Error,Coti,2,1273770,65,8,0.622,0.818,9,-6.784,1,0.0327,0.0831,0,0.31,0.849,138.495,208200,0.25546,198.7454,4,False,66,spanish pop,2003-01-01,Yes
Antes Que Ver El Sol,Coti,2,572098.5,60.5,10,0.678,0.69,9,-7.496,1,0.0312,0.0832,0,0.167,0.887,134.04,221627,0.35406,212.77605,4,False,55,spanish pop,2003-01-01,Yes
Me He Pillao x Ti,Ana Mena,2,443866.5,62,8,0.708,0.923,0,-4.794,0,0.0949,0.229,0,0.244,0.852,117.977,202251,0.09868,192.30186,4,False,57,spanish pop,2023-03-24,Yes
Princesas,Pereza,1,449596,56,9,0.683,0.846,7,-3.551,1,0.0422,0.0634,0,0.346,0.706,131.884,217000,0.16259,209.90259,4,False,68,spanish indie pop,2005-04-07,Yes
20 de Enero,La Oreja de Van Gogh,1,3371218,72,14,0.593,0.893,0,-4.047,1,0.0349,0.38,0.000603,0.156,0.643,145.029,223000,0.08136,218.24435,4,False,65,latin arena pop,2003,Yes
Mi Estrella Blanca,Fondo Flamenco,1,460829,59,11,0.701,0.804,10,-5.743,0,0.0379,0.71,0,0.0877,0.963,159.979,278959,0.0,276.21878,4,False,66,flamenco fusion,2008-12-08,Yes
Los Ángeles,Aitana,1,2635954,75,11,0.795,0.889,11,-5.216,0,0.0902,0.053,0.000237,0.113,0.421,122.023,158484,0.0,152.96725,4,False,83,latin talent show,2023-03-29,Yes
Bailemos,Dani Fernández,1,156240,58,8,0.649,0.555,1,-4.655,1,0.0292,0.0616,3.45e-06,0.0874,0.607,128.009,210469,0.56313,202.8263,4,False,61,spanish pop,2019-05-24,Yes
La primavera trompetera,Los Delinquentes,1,310272,54,7,0.772,0.81,9,-5.199,1,0.0522,0.269,0,0.64,0.92,114.077,252680,0.16263,244.3494,4,False,57,carnaval cadiz,2005-02-21,Yes
Entre Poetas y Presos,La Raíz,1,251802,50,11,0.644,0.917,10,-4.62,1,0.04,0.00991,0,0.108,0.797,150.034,267680,0.1044,255.59946,4,False,57,ska espanol,2016-03-11,Yes
Heather,Conan Gray,1,8051072,79,11,0.357,0.425,5,-7.301,1,0.0333,0.584,0,0.322,0.27,102.078,198040,0.20313,193.71246,3,False,88,bedroom pop,2020-03-20,Yes
You Belong With Me (Taylor’s Version),Taylor Swift,1,76788185,100,11,0.632,0.773,6,-4.856,1,0.0346,0.0623,0,0.0885,0.474,130.033,231124,0.20898,218.63908,4,False,86,pop,2021-04-09,Yes
Llorando en la Disco,Ana Mena,1,680259,68,9,0.871,0.777,5,-5.456,1,0.0797,0.149,1.8e-06,0.0618,0.43,109.966,183651,0.21478,170.77116,4,False,54,spanish pop,2023-03-24,Yes
Canciones de Amor a Ti,Rigoberta Bandini,1,207678,56,8,0.681,0.756,0,-6.065,1,0.141,0.149,0.0176,0.102,0.676,144.878,198947,0.06948,193.60217,4,False,57,spanish indie pop,2022-10-07,Yes
Sultans Of Swing,Dire Straits,1,6717218,75,15,0.733,0.794,5,-10.023,1,0.0307,0.0614,0.0367,0.33,0.931,148.174,348624,0.66177,338.5063,4,False,84,album rock,1978-10-07,Yes
Fix You,Coldplay,1,44924323,88,13,0.209,0.417,3,-8.74,1,0.0338,0.164,0.00196,0.113,0.124,138.178,295533,0.95764,285.46613,4,False,86,permanent wave,2005-06-07,Yes
Hymn for the Weekend,Coldplay,1,44924323,88,10,0.491,0.693,0,-6.487,0,0.0377,0.211,6.92e-06,0.325,0.412,90.027,258267,0.1102,250.1834,4,False,86,permanent wave,2015-12-04,Yes
Ya Verás (with Andrés Suárez),Funambulista,2,140272,54,9,0.567,0.625,10,-5.55,1,0.0301,0.167,0,0.203,0.309,138.956,247467,0.25542,238.84045,4,False,45,cantautor,2017-02-03,Yes
We Don't Talk Anymore (feat. Selena Gomez),Charlie Puth,2,31727038.5,83.5,10,0.728,0.563,1,-8.053,0,0.134,0.621,0,0.179,0.352,100.017,217707,0.34245,212.32327,4,False,84,pop,2016-01-29,Yes
Happier,Marshmello,2,20259822.5,78.5,8,0.687,0.792,5,-2.749,1,0.0452,0.191,0,0.167,0.671,100.015,214290,0.18449,208.46875,4,False,85,brostep,2018-08-17,Yes
LA INOCENTE,Mora,2,3861722,87,12,0.757,0.789,5,-3.46,0,0.0583,0.307,0,0.0717,0.464,91.911,202174,0.19683,197.04454,4,True,88,trap latino,2022-04-01,Yes
LAS 12,Ana Mena,2,1231893,67.5,8,0.784,0.814,6,-2.436,1,0.0464,0.0559,0,0.194,0.728,129.96,165231,0.63215,165.23074,4,False,71,spanish pop,2022-06-17,Yes
PUEDES CONTAR CONMIGO,María Escarmiento,3,13813,45.333333333333336,9,0.581,0.964,6,-5.153,1,0.0884,0.126,0.000573,0.0968,0.532,160.017,154688,0.0,154.68848,3,False,58,latin talent show,2022-10-28,Yes
Estoy enfermo (con Melendi),Pignoise,2,1844099,61.5,9,0.569,0.831,11,-3.177,1,0.0454,0.0178,0,0.0603,0.824,100.022,154227,0.38902,148.60771,4,False,60,spanish pop,2009-06-18,Yes
I'm Yours,Jason Mraz,1,7127070,72,11,0.703,0.444,11,-9.331,1,0.0417,0.559,0,0.0973,0.712,150.96,242947,0.17342,231.81642,4,False,78,acoustic pop,2008-05-01,Yes
Stereo Hearts (feat. Adam Levine),Gym Class Heroes,2,1225901.5,69.5,8,0.646,0.795,9,-3.293,1,0.0976,0.0319,0,0.267,0.796,89.99,210960,0.16925,207.49352,4,False,83,dance pop,2011-11-11,Yes
Nochentera,Vicco,1,20917,63,9,0.802,0.728,8,-6.456,0,0.0533,0.0233,0,0.119,0.782,121.92,202185,0.20839,192.08127,4,False,82,desconocido,2022-12-19,Yes
Una Foto en Blanco y Negro,El Canto Del Loco,1,958041,63,9,0.545,0.875,1,-3.714,1,0.0337,0.0737,0,0.215,0.675,139.008,209893,0.0,199.30267,4,False,63,latin arena pop,2003,Yes
Nunca Estoy,C. Tangana,1,2458959,73,6,0.917,0.377,2,-5.132,1,0.161,0.474,0.00367,0.298,0.398,134.994,162222,0.08118,162.22223,4,False,57,urbano espanol,2020-04-23,Yes
Inmortal,La Oreja de Van Gogh,1,3371218,72,13,0.702,0.865,8,-3.396,1,0.0391,0.426,0,0.103,0.782,140.043,246400,0.20395,238.05678,4,False,61,latin arena pop,2008-09-30,Yes
Mal De Amores,Juan Magán,2,19558845,77,7,0.625,0.862,10,-5.686,1,0.236,0.251,0,0.545,0.395,128.067,173507,0.2322,168.64653,4,False,61,electro latino,2015-10-16,Yes
Copacabana,IZAL,1,566464,60,11,0.62,0.81,9,-7.194,0,0.0485,0.0093,4.51e-06,0.207,0.512,144.924,216566,0.14499,211.8937,4,False,63,spanish indie pop,2015-07-14,Yes
mariposas,sangiovanni,2,1725240,68.5,8,0.692,0.75,0,-4.328,0,0.0411,0.145,0,0.133,0.443,120.037,154000,0.0,149.7629,4,False,74,italian adult pop,2022-06-02,Yes
El Secreto de las Tortugas,Maldita Nerea,1,619323,54,11,0.576,0.756,1,-6.554,1,0.0486,0.00726,0.00071,0.343,0.709,169.985,247840,0.0,235.0556,4,False,59,latin arena pop,2009-05-07,Yes
Sé lo que hicisteis - 2006 Remastered Version,Melendi,1,3494549,72,12,0.676,0.923,4,-6.374,1,0.0638,0.394,0,0.104,0.863,159.955,228547,0.41215,216.3055,4,False,63,spanish pop,2006-07-03,Yes
SANTORINI (feat. Marmi),Enol,2,28594.5,54.5,9,0.728,0.781,8,-6.349,1,0.0336,0.0799,0,0.0985,0.76,140.021,164143,0.43252,159.14957,4,False,67,rap espanol,2022-11-18,Yes
si quieres,Cariño,1,86768,50,7,0.505,0.745,11,-5.044,1,0.106,0.000324,0.0109,0.0974,0.881,190.091,166947,0.46998,161.58186,4,False,59,tontipop,2022-05-05,Yes
Física o química,Despistaos,1,240726,54,6,0.619,0.904,7,-3.784,1,0.0506,0.06,0,0.378,0.962,99.982,191827,0.60358,181.78322,4,False,63,latin arena pop,2008-10-14,Yes
Cómo Te Atreves,Morat,1,9025108,82,11,0.617,0.888,4,-4.567,1,0.0402,0.0705,0,0.162,0.771,130.97,240560,0.36585,230.22005,4,False,75,colombian pop,2016-06-17,Yes
Por quererte,Efecto Mariposa,1,240000,48,9,0.703,0.833,2,-3.764,1,0.0336,0.0762,0,0.147,0.887,139.959,254373,0.49224,243.92561,4,False,55,spanish pop,2009-04-28,Yes
Something Just Like This,The Chainsmokers,2,32567464,84,11,0.617,0.635,11,-6.769,0,0.0317,0.0498,1.44e-05,0.164,0.446,103.019,247160,0.23791,232.16472,4,False,88,electropop,2017-04-07,Yes
Buscando en la basura,La Fuga,1,312203,52,9,0.557,0.857,2,-3.809,1,0.0489,0.00531,0,0.115,0.647,95.025,208840,2.33361,208.83972,4,False,60,latin rock,2005-04-04,Yes
Cuando Brille el Sol,La Guardia,1,139863,48,11,0.505,0.731,7,-11.379,1,0.0374,0.0326,4.14e-05,0.174,0.93,169.79,224000,0.33918,216.7815,4,False,57,cantautor,1990-07-06,Yes
Moonlight,Cruz Cafuné,2,184768.5,59.5,8,0.806,0.718,6,-7.419,0,0.0821,0.0481,1.27e-06,0.119,0.598,129.946,193005,0.06376,186.46204,4,True,48,rap canario,2020-01-10,Yes
The Middle,Zedd,3,2253763.3333333335,70,10,0.753,0.657,7,-3.061,1,0.0449,0.171,0,0.112,0.437,107.01,184732,0.0,179.39737,4,False,82,complextro,2018-01-23,Yes
Lose You To Love Me,Selena Gomez,1,42941450,84,11,0.488,0.343,4,-8.985,1,0.0436,0.556,0,0.21,0.0978,102.819,206459,0.24844,195.4888,4,False,83,pop,2020-01-10,Yes
Polvere,Olly,2,17601.5,57,10,0.588,0.793,1,-5.581,1,0.089,0.112,0,0.112,0.433,147.912,166792,0.0,160.7053,3,False,62,italian pop,2023-02-08,Yes
Nos Volveremos a Ver,La Raíz,1,251802,50,12,0.508,0.891,4,-4.009,1,0.0418,0.00436,0,0.139,0.698,169.901,284770,2.04336,272.35266,4,False,50,ska espanol,2016-03-11,Yes
PIENSO EN TU MIRÁ - Cap.3: Celos,ROSALÍA,1,7389459,85,6,0.647,0.676,8,-6.025,1,0.0862,0.0909,0.0227,0.0947,0.41,164.51,193767,0.0,184.89468,3,False,66,pop,2018-11-02,Yes
Lloverá y Yo Veré,La Pegatina,1,244227,53,11,0.476,0.778,6,-5.038,0,0.0511,0.0151,0,0.323,0.716,175.954,176718,0.0,172.06567,4,False,0,rumba catalana,2013-02-25,Yes
Salir,Extremoduro,1,1183892,62,13,0.316,0.645,7,-6.206,1,0.0431,0.291,0.00312,0.109,0.467,160.399,318987,0.45261,311.17642,4,False,61,indie extremena,1998-06-08,Yes
Cry Me a River,Justin Timberlake,1,12979018,79,13,0.624,0.654,8,-6.582,0,0.183,0.577,0,0.104,0.564,73.898,288333,0.24961,284.31674,4,False,77,dance pop,2002-11-04,Yes
Bleeding Love,Leona Lewis,1,3515485,64,13,0.638,0.656,5,-5.886,1,0.0357,0.188,0,0.146,0.225,104.036,262467,0.3605,257.46286,4,False,78,british soul,2007,Yes
Macera,GOMZ,1,4046,28,10,0.549,0.474,0,-11.657,0,0.0818,0.372,0.69,0.216,0.128,173.931,178965,0.66812,173.97551,3,False,16,desconocido,2023-01-11,Yes
SORRY BARBIE,Todrick Hall,1,391622,56,10,0.774,0.855,11,-3.656,0,0.0372,0.123,0,0.14,0.968,139.976,168000,0.0,165.19257,4,True,0,strut,2022-06-01,Yes
che gente siamo,sangiovanni,1,814526,62,10,0.49,0.758,1,-5.974,1,0.176,0.0306,0,0.417,0.663,149.876,160000,0.45329,153.57098,4,True,28,italian adult pop,2022-05-05,Yes
Someone To You,BANNERS,1,590183,65,7,0.52,0.903,2,-5.497,1,0.042,0.00517,0,0.254,0.652,74.988,219801,2.01433,207.66766,4,False,77,indie poptimism,2019-10-04,Yes
Pierdo el sentido,Alizzz,1,66017,54,8,0.66,0.889,11,-4.235,0,0.0659,0.0414,0.0123,0.0994,0.9,149.94,194503,0.39488,194.5028,4,False,48,tontipop,2023-02-10,Yes
JESUS IN BERLIN,nullzwei,3,971.6666666666666,38.333333333333336,7,0.791,0.43,2,-13.129,1,0.0485,0.162,0.00959,0.0972,0.275,127.964,152344,0.0,149.18822,4,True,22,desconocido,2022-12-23,Yes
Era Mi Vida El,Isabel Pantoja,1,909536,54,9,0.42,0.527,5,-8.055,1,0.0554,0.778,0,0.352,0.279,99.873,230013,0.30195,216.81052,1,False,23,cancion melodica,2017-11-24,Yes
Insieme: 1992,Toto Cutugno,1,138465,54,10,0.788,0.708,10,-6.124,1,0.0283,0.084,0,0.12,0.516,100.149,263903,0.0,261.87466,4,False,53,classic italian pop,2010,Yes
Él,Lucia,1,931,29,10,0.791,0.584,6,-10.871,1,0.0723,0.624,0,0.078,0.957,134.887,160080,0.0,150.78458,4,False,29,desconocido,2013-04-09,Yes
Bem Bom,Doce,1,8545,32,8,0.827,0.713,7,-9.257,1,0.102,0.00489,0.624,0.0536,0.769,106.04,156253,0.16771,152.01524,4,False,39,classic portuguese pop,1986-01-01,Yes
Bandido,Azucar Moreno,1,246988,47,6,0.735,0.817,1,-8.595,1,0.036,0.0414,5.14e-06,0.806,0.799,127.912,182867,0.13497,179.71664,4,False,47,spanish pop,1990,Yes
L'oiseau et l'enfant,Marie Myriam,1,4998,31,10,0.742,0.241,2,-14.751,1,0.0349,0.846,0,0.101,0.335,102.857,183413,0.2907,176.01888,4,False,50,classic french pop,1988-03-15,Yes
When We're Old,Ieva Zasimauskaitė,1,5869,25,7,0.357,0.262,10,-12.828,1,0.0375,0.842,0.00794,0.142,0.0804,179.091,179500,0.16272,173.52272,4,False,0,lithuanian pop,2018-03-15,Yes
You Let Me Walk Alone,Michael Schulte,1,291951,65,10,0.322,0.278,11,-9.952,1,0.0317,0.783,0,0.103,0.425,149.004,177886,0.0,173.06413,4,False,44,german pop,2018-02-20,Yes
Bailar Pegados,Sergio Dalma,1,780925,55,15,0.511,0.42,0,-13.003,1,0.0306,0.529,0,0.129,0.218,143.566,276640,0.499,261.96173,4,False,60,latin arena pop,1991-01-01,Yes
Az Én Apám,Pápai Joci,1,39077,36,7,0.697,0.435,2,-7.79,0,0.0437,0.767,4.68e-06,0.0887,0.358,95.947,181875,0.0,174.37605,4,False,4,hungarian pop,2018-12-23,Yes
Soldi,Mahmood,1,1209846,60,13,0.69,0.581,3,-9.832,0,0.0466,0.0404,0,0.111,0.372,94.904,195476,0.14553,190.0089,4,False,0,italian adult pop,2019-02-06,Yes
SHUM,Go_A,1,180417,52,8,0.527,0.737,4,-5.34,1,0.0642,0.05,7.85e-05,0.105,0.499,116.431,172675,0.18558,168.27501,4,False,1,ukrainian viral pop,2021-03-10,Yes
Navaja,San Tosielo,2,10226.5,39.5,7,0.688,0.79,9,-8.908,0,0.0775,0.361,0,0.574,0.561,154.938,170186,0.4761,163.04472,4,False,36,desconocido,2022-09-29,Yes
Last First Kiss,Abe Parker,1,123496,53,10,0.545,0.444,2,-9.609,1,0.0843,0.616,0,0.288,0.329,77.582,171984,0.30753,163.32336,4,False,52,desconocido,2022-10-25,Yes
Miss You,Oliver Tree,2,2678998.5,77,8,0.587,0.742,6,-6.64,0,0.0529,0.0128,0.00107,0.146,0.199,145.007,206000,0.0,197.88045,4,True,87,alternative hip hop,2022-08-05,Yes
Trocito de Marte,Ciudad Jara,1,42583,47,8,0.669,0.778,8,-4.933,0,0.0397,0.14,0,0.183,0.379,140.039,206040,0.11039,201.32281,4,False,32,indie valenciana,2023-02-24,Yes
Ball del vetlatori,Maria Arnal,2,23788,35,14,0.407,0.0901,0,-12.913,0,0.0392,0.945,0.000114,0.121,0.323,77.906,323999,0.12785,317.52707,3,False,33,cantautor,2017-04-21,Yes
Tú Que Vienes a Rondarme,Maria Arnal,2,23788,35,11,0.577,0.361,9,-11.442,0,0.0327,0.976,0.00433,0.107,0.215,104.022,215068,0.0,209.76907,4,False,47,cantautor,2017-04-21,Yes
Mama (feat. Nitro),Gemitaiz,2,1344132.5,65,8,0.873,0.636,10,-7.594,1,0.0785,0.114,6.15e-06,0.478,0.355,121.009,180581,0.06952,172.85515,4,True,60,italian hip hop,2020-11-06,Yes
This Is War,Thirty Seconds To Mars,1,3356478,68,11,0.402,0.723,6,-5.26,1,0.0579,0.0663,2e-06,0.233,0.224,160.047,326983,3.00118,320.5805,4,False,68,modern rock,2009-01-01,Yes
From Yesterday,Thirty Seconds To Mars,1,3356478,68,12,0.468,0.876,10,-4.841,1,0.0692,0.00578,0.00625,0.035,0.13,135.062,247373,4.16218,243.34512,4,False,63,modern rock,2005-01-01,Yes
Walk On Water,Thirty Seconds To Mars,1,3356478,68,8,0.494,0.778,8,-7.041,1,0.0359,0.000115,0,0.0904,0.406,139.963,188228,0.18494,180.91248,4,False,0,modern rock,2017-08-22,Yes
Raices,Safree,2,44571.5,41.5,6,0.551,0.713,9,-7.512,0,0.213,0.721,0,0.533,0.804,91.947,146087,1.16862,141.56625,4,False,8,desconocido,2021-06-25,Yes
Muchas Cosas,Natalia Lacunza,1,207474,56,7,0.844,0.438,8,-7.787,1,0.0328,0.0466,6.92e-05,0.0795,0.566,116.974,151787,0.0,143.33678,4,False,57,latin talent show,2022-06-09,Yes
Cicatrices,Natos y Waor,1,753808,65,5,0.713,0.647,8,-8.314,1,0.346,0.728,0,0.139,0.281,120.036,176375,0.25197,168.7278,4,True,67,rap underground espanol,2018-02-13,Yes
Sei la mia città,Cosmo,1,185938,49,10,0.823,0.649,4,-5.07,1,0.071,0.0526,2.26e-05,0.252,0.792,115.979,224353,0.40512,220.45026,4,True,37,italian alternative,2017-05-19,Yes
Danzar sobre la tierra,Karmento,1,5388,28,12,0.734,0.481,0,-9.759,1,0.0345,0.77,0.000857,0.114,0.132,117.875,268085,0.0,259.22177,4,False,29,desconocido,2020-05-08,Yes
Me Encantas,Bearoid,2,3400.5,19,9,0.632,0.791,6,-6.731,1,0.126,0.0175,2.27e-05,0.107,0.744,160.986,196770,0.0,186.30531,4,False,25,indie valenciana,2021-11-26,Yes
Ojala,Fondo Flamenco,1,460829,59,14,0.639,0.888,11,-4.671,0,0.106,0.233,0,0.0965,0.859,165.93,236840,0.26821,226.7777,4,False,59,flamenco fusion,2007,Yes
Muchoperro,Juseph,3,97038,60,12,0.852,0.748,4,-4.564,0,0.0387,0.491,0,0.617,0.971,116.961,219535,0.09891,214.88907,4,False,65,desconocido,2022-09-02,Yes
This Is Nightlife - Video Edit,ItaloBrothers,1,405893,63,9,0.642,0.784,11,-5.286,0,0.032,0.0271,3.03e-05,0.308,0.877,128.004,162000,0.0,157.3268,4,False,34,hands up,2013-04-30,Yes
Deja Que Te Bese,Alejandro Sanz,2,8107037.5,76,9,0.707,0.908,1,-2.903,1,0.0582,0.134,0,0.111,0.546,104.888,244353,0.29596,233.63918,4,False,68,cantautor,2016-07-15,Yes
Burning Love,Elvis Presley,1,8358764,78,10,0.66,0.748,2,-11.206,1,0.0284,0.0993,0.00585,0.283,0.972,143.549,170293,0.48608,163.03891,4,False,76,rock-and-roll,1973-07-16,Yes
Follow Me,Hardwell,2,7772303,73,11,0.506,0.794,6,-2.907,1,0.0511,0.0134,0,0.0698,0.387,128.076,200040,0.0,193.22485,4,False,0,big room,2015-01-23,Yes
Lágrimas Negras,Bebo Valdés,2,178292,50.5,18,0.546,0.404,0,-10.544,1,0.133,0.689,0.00804,0.913,0.506,153.637,326187,0.0,326.18668,4,False,39,cha-cha-cha,2014-06-01,Yes
"Take Me Home, Country Roads",John Denver,1,1880344,68,8,0.38,0.43,9,-12.564,1,0.0288,0.546,1.71e-05,0.188,0.547,82.204,197813,0.44104,184.40707,4,False,77,classic country pop,1997-06-17,Yes
Tofu Delivery,Orslok,2,185226.5,56,8,0.549,0.896,6,-7.25,1,0.119,0.25,3.82e-06,0.172,0.61,149.883,184000,0.0,176.04208,4,True,57,hyperpop en espanol,2021-10-29,Yes
Tant pis ou tant mieux,Bigflo & Oli,2,898260,50,10,0.877,0.425,2,-6.956,0,0.22,0.562,9.4e-06,0.0847,0.385,134.981,212733,0.16816,207.56317,4,True,44,french pop,2022-07-11,Yes
Au Revoir,Bigflo & Oli,1,1789237,62,6,0.491,0.474,5,-8.988,0,0.25,0.729,0,0.0987,0.474,83.003,199907,4.69043,193.93887,1,False,43,french pop,2020-10-08,Yes
Eso Que Tú Me Das,Jarabe De Palo,1,1505264,67,10,0.778,0.804,0,-5.699,1,0.0286,0.144,9.5e-05,0.0676,0.836,130.004,214554,0.23796,201.56662,4,False,66,latin alternative,2020-05-26,Yes
Perdóname (con Carminho),Pablo Alborán,2,2498393,61,12,0.667,0.463,11,-8.772,1,0.033,0.577,0,0.107,0.337,115.414,256435,0.0,246.28246,4,False,56,latin arena pop,2011-02-01,Yes
BANKSY,Recycled J,2,114090.5,59,13,0.745,0.509,5,-7.486,0,0.0486,0.391,0,0.147,0.504,127.143,204000,0.0,198.25197,4,False,48,spanish hip hop,2021-09-24,Yes
Ni**as In Paris,JAY-Z,2,14357472,86.5,10,0.789,0.858,1,-5.542,1,0.311,0.127,0,0.349,0.775,140.022,219333,0.0,217.22269,4,True,86,east coast hip hop,2011-08-08,Yes
Where Is The Love?,Black Eyed Peas,1,7500793,80,8,0.835,0.687,5,-3.18,1,0.184,0.101,0,0.132,0.828,94.059,272533,0.0,264.19083,4,False,0,dance pop,2003-01-01,Yes
Eloise,Tino Casal,1,102187,39,14,0.514,0.946,10,-9.676,0,0.0576,0.156,0.00306,0.39,0.214,134.981,328960,2.36844,313.92798,4,False,47,spanish new wave,1987-01-25,Yes
Lettre à une femme,Ninho,1,8177948,80,7,0.487,0.398,1,-9.901,0,0.0697,0.835,0,0.12,0.905,149.367,157766,0.07542,151.35927,4,True,60,french hip hop,2020-03-07,Yes
La vie qu'on mène,Ninho,1,8177948,80,9,0.8,0.756,7,-4.4,0,0.0367,0.687,2.06e-06,0.111,0.456,113.204,193444,0.07546,191.09442,3,False,75,french hip hop,2019-03-22,Yes
Eternal Flame,The Bangles,1,1274513,62,10,0.526,0.358,4,-7.239,0,0.0243,0.525,0,0.0942,0.399,78.989,238027,0.25628,222.53424,3,False,70,album rock,2004,Yes
Mr. Blue Sky,Electric Light Orchestra,1,3771556,71,14,0.388,0.338,10,-10.054,1,0.0329,0.652,3.73e-06,0.248,0.478,177.765,303373,0.0,297.23865,4,False,84,album rock,1977,Yes
La Canción del Pensador,Ciudad Jara,1,42583,47,12,0.568,0.458,1,-8.041,0,0.0268,0.267,2.59e-06,0.209,0.134,92.016,265376,0.26122,260.34793,4,False,39,indie valenciana,2020-02-07,Yes
Lo que sobra de mí,Fito y Fitipaldis,1,1845329,65,11,0.685,0.671,5,-7.082,0,0.0358,0.245,0,0.143,0.829,142.258,220120,0.21365,211.28998,4,False,58,cantautor,2014-10-28,Yes
Heaven,Niall Horan,1,9568528,79,8,0.571,0.761,5,-3.485,1,0.0261,0.0708,0,0.331,0.681,91.991,186043,0.30168,179.34512,4,False,85,pop,2023-02-17,Yes
Antes Que el Mundo Se Acabe,Residente,1,1239721,60,9,0.301,0.413,0,-10.655,1,0.0322,0.742,0,0.0907,0.311,149.593,249812,0.20839,240.95348,3,False,54,venezuelan hip hop,2020-05-14,Yes
You Know I'm No Good,Amy Winehouse,1,8441757,74,13,0.694,0.496,9,-14.222,1,0.0329,0.0139,0.00356,0.0644,0.799,103.372,257187,0.18027,246.5785,4,False,74,british soul,2006,Yes
Disfruto,Carla Morrison,1,3723061,72,13,0.658,0.133,1,-11.254,0,0.0352,0.901,0,0.106,0.122,91.054,244973,0.43039,230.59737,4,False,77,mexican pop,2012-03-27,Yes
Un Beso Y Una Flor,Nino Bravo,1,763963,55,11,0.258,0.522,9,-9.859,1,0.0316,0.688,0,0.0703,0.419,167.582,272800,0.45256,259.43655,4,False,67,cantautor,1976-01-01,Yes
fluo,sangiovanni,1,814526,62,8,0.676,0.832,1,-4.09,0,0.0665,0.0382,0,0.336,0.69,129.99,175385,0.1107,172.18758,4,False,56,italian adult pop,2022-10-06,Yes
Someday,OneRepublic,1,15711792,83,8,0.576,0.679,0,-7.237,1,0.034,0.0311,0,0.323,0.213,121.005,187889,0.24399,181.32463,4,False,75,piano rock,2021-08-27,Yes
Thunder,Gabry Ponte,3,223999,69.33333333333333,6,0.67,0.896,1,-4.673,1,0.058,0.0342,3.21e-05,0.344,0.403,101.216,160000,0.0,153.80898,3,False,82,eurodance,2021-05-07,Yes
Fire and the Flood,Vance Joy,1,2840036,75,11,0.596,0.827,5,-4.402,1,0.0372,0.0242,0,0.0958,0.329,115.034,249382,0.27882,241.63846,4,False,70,folk-pop,2014-09-09,Yes
Locked Away (feat. Adam Levine),R. City,2,567478,66.5,11,0.509,0.671,1,-5.709,1,0.0678,0.304,0,0.0452,0.55,118.413,227480,0.29755,220.93205,5,False,81,reggae fusion,2015-10-09,Yes
Faded,Alan Walker,1,38263085,81,9,0.589,0.651,6,-5.097,1,0.0306,0.0291,3.2e-06,0.111,0.166,90.011,212627,0.11642,198.87311,4,False,74,electro house,2015-12-04,Yes
